Player,G,Points per Game,Rebounds per Game,Assists per Game,Steals per Game,Turnovers per Game,Average Points per Game,Average Rebounds per Game,Average Assists per Game,Average Steals per Game,Average Turnovers per Game
Amen Thompson,62.0,9.548387096774194,6.596774193548387,2.629032258064516,1.2580645161290323,1.4516129032258065,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Anthony Black,69.0,4.579710144927536,2.0144927536231885,1.318840579710145,0.5072463768115942,0.8115942028985508,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Ausar Thompson,63.0,8.825396825396826,6.380952380952381,1.9047619047619047,1.0793650793650793,1.3333333333333333,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Ben Sheppard,57.0,4.421052631578948,1.5614035087719298,0.9298245614035088,0.5789473684210527,0.2631578947368421,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Bilal Coulibaly,63.0,8.444444444444445,4.063492063492063,1.746031746031746,0.9047619047619048,1.380952380952381,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Brandin Podziemski,74.0,9.216216216216216,5.77027027027027,3.689189189189189,0.8243243243243243,1.1891891891891893,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Brandon Miller,74.0,17.283783783783782,4.256756756756757,2.364864864864865,0.8918918918918919,1.7837837837837838,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Brice Sensabaugh,32.0,7.53125,3.1875,1.71875,0.40625,1.46875,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Cam Whitmore,47.0,12.319148936170214,3.8297872340425534,0.7021276595744681,0.6382978723404256,0.9787234042553191,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Cason Wallace,82.0,6.841463414634147,2.2804878048780486,1.4634146341463414,0.926829268292683,0.5487804878048781,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Dariq Whitehead,2.0,1.5,2.0,1.5,0.0,0.0,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Dereck Lively II,55.0,8.781818181818181,6.872727272727273,1.0909090909090908,0.6545454545454545,0.9090909090909091,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Gradey Dick,60.0,8.5,2.2,1.1333333333333333,0.5666666666666667,0.8333333333333334,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
Jaime Jaquez Jr.,75.0,11.853333333333333,3.8,2.6,1.0266666666666666,1.4666666666666666,8.422299784791328,3.3747019906679503,2.0012952406136204,0.59034978297438,0.9815656102519372
